"VIXKLD2.Code.or.Value","VIXKLD2.Value.Description","VIXKLD2.Count","VIXKLD2.Cumulative","VIXKLD2.Skip.to.Item"
"35.75 to 66.25","Range of Values",6346,6346,NA
"88","Could not obtain",54,6400,NA
".","Missing",358,6758,NA
