"LBXSCH.Code.or.Value","LBXSCH.Value.Description","LBXSCH.Count","LBXSCH.Cumulative","LBXSCH.Skip.to.Item"
"6 to 502","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
