"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2848,2848,NA
"1","Below lower detection limit",0,2848,NA
".","Missing",93,2941,NA
