"HCQ140C.Code.or.Value","HCQ140C.Value.Description","HCQ140C.Count","HCQ140C.Cumulative","HCQ140C.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",3,6,NA
"7","Refused",0,6,NA
"9","Don't know",0,6,NA
".","Missing",72,78,NA
