"URXNOXT.Code.or.Value","URXNOXT.Value.Description","URXNOXT.Count","URXNOXT.Cumulative","URXNOXT.Skip.to.Item"
"1.77 to 4610","Range of Values",977,977,NA
".","Missing",1485,2462,NA
