"DS2TFIBE.Code.or.Value","DS2TFIBE.Value.Description","DS2TFIBE.Count","DS2TFIBE.Cumulative","DS2TFIBE.Skip.to.Item"
"0.3 to 30","Range of Values",93,93,NA
".","Missing",9245,9338,NA
