"WTMREP42.Code.or.Value","WTMREP42.Value.Description","WTMREP42.Count","WTMREP42.Cumulative","WTMREP42.Skip.to.Item"
"0 to 263487.73528","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
