"AUXTPVL.Code.or.Value","AUXTPVL.Value.Description","AUXTPVL.Count","AUXTPVL.Cumulative","AUXTPVL.Skip.to.Item"
"0.3 to 5.7","Range of Values",1881,1881,NA
"777","Refused",6,1887,NA
"888","Could not obtain",0,1887,NA
".","Missing",159,2046,NA
