"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"11.7 to 56.2","Range of Values",5094,5094,NA
".","Missing",686,5780,NA
