"LBXTR.Code.or.Value","LBXTR.Value.Description","LBXTR.Count","LBXTR.Cumulative","LBXTR.Skip.to.Item"
"12 to 2549","Range of Values",3099,3099,NA
".","Missing",216,3315,NA
