"LBDAPBSI.Code.or.Value","LBDAPBSI.Value.Description","LBDAPBSI.Count","LBDAPBSI.Cumulative","LBDAPBSI.Skip.to.Item"
"0.24 to 3.45","Range of Values",3106,3106,NA
".","Missing",246,3352,NA
