"DS2TCHL.Code.or.Value","DS2TCHL.Value.Description","DS2TCHL.Count","DS2TCHL.Cumulative","DS2TCHL.Skip.to.Item"
"0 to 1000","Range of Values",386,386,NA
".","Missing",9376,9762,NA
