"FSQ695.Code.or.Value","FSQ695.Value.Description","FSQ695.Count","FSQ695.Cumulative","FSQ695.Skip.to.Item"
"1 to 9","Range of Values",1531,1531,NA
"77","Refused",1,1532,NA
"99","Don't know",85,1617,NA
".","Missing",8139,9756,NA
