"DXXLALI.Code.or.Value","DXXLALI.Value.Description","DXXLALI.Count","DXXLALI.Cumulative","DXXLALI.Skip.to.Item"
"579.6 to 7729.5","Range of Values",4682,4682,NA
".","Missing",1010,5692,NA
