"LBXSEL.Code.or.Value","LBXSEL.Value.Description","LBXSEL.Count","LBXSEL.Cumulative","LBXSEL.Skip.to.Item"
"33 to 180","Range of Values",1186,1186,NA
".","Missing",7646,8832,NA
