"URDUASLC.Code.or.Value","URDUASLC.Value.Description","URDUASLC.Count","URDUASLC.Cumulative","URDUASLC.Skip.to.Item"
"0","At or above the detection limit",2525,2525,NA
"1","Below lower detection limit",0,2525,NA
".","Missing",80,2605,NA
