"URDAMCLC.Code.or.Value","URDAMCLC.Value.Description","URDAMCLC.Count","URDAMCLC.Cumulative","URDAMCLC.Skip.to.Item"
"0","At or above the detection limit",3117,3117,NA
"1","Below lower detection limit",52,3169,NA
".","Missing",148,3317,NA
