"DXDTOLI.Code.or.Value","DXDTOLI.Value.Description","DXDTOLI.Count","DXDTOLI.Cumulative","DXDTOLI.Skip.to.Item"
"13764.1 to 108116","Range of Values",5056,5056,NA
".","Missing",977,6033,NA
