"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1620,1620,NA
"1","Below lower detection limit",284,1904,NA
".","Missing",273,2177,NA
