"DXXFRAX1.Code.or.Value","DXXFRAX1.Value.Description","DXXFRAX1.Count","DXXFRAX1.Cumulative","DXXFRAX1.Skip.to.Item"
"0 to 53.08","Range of Values",3127,3127,NA
".","Missing",581,3708,NA
