"DR2IS140.Code.or.Value","DR2IS140.Value.Description","DR2IS140.Count","DR2IS140.Cumulative","DR2IS140.Skip.to.Item"
"0 to 13.379","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
