"DEX1COMM.Code.or.Value","DEX1COMM.Value.Description","DEX1COMM.Count","DEX1COMM.Cumulative","DEX1COMM.Skip.to.Item"
"Reader 1 comment","Value was recorded",35,35,NA
"< blank >","Missing",2957,2992,NA
