"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"0 to 18880","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
