"DXASPNK.Code.or.Value","DXASPNK.Value.Description","DXASPNK.Count","DXASPNK.Cumulative","DXASPNK.Skip.to.Item"
"1.114 to 1.1589","Range of Values",6716,6716,NA
".","Missing",1018,7734,NA
