"LBXSSE.Code.or.Value","LBXSSE.Value.Description","LBXSSE.Count","LBXSSE.Cumulative","LBXSSE.Skip.to.Item"
"58.1 to 217.8","Range of Values",2436,2436,NA
".","Missing",256,2692,NA
