"URDMEPLC.Code.or.Value","URDMEPLC.Value.Description","URDMEPLC.Count","URDMEPLC.Cumulative","URDMEPLC.Skip.to.Item"
"0","At or above the detection limit",2749,2749,NA
"1","Below lower detection limit",0,2749,NA
".","Missing",70,2819,NA
