"PEASCST1.Code.or.Value","PEASCST1.Value.Description","PEASCST1.Count","PEASCST1.Cumulative","PEASCST1.Skip.to.Item"
"1","Complete",8958,8958,NA
"2","Partial",38,8996,NA
"3","Not done",286,9282,NA
".","Missing",0,9282,NA
