"DS1TSELE.Code.or.Value","DS1TSELE.Value.Description","DS1TSELE.Count","DS1TSELE.Cumulative","DS1TSELE.Skip.to.Item"
"1 to 716.5","Range of Values",1211,1211,NA
".","Missing",9042,10253,NA
