"URXUAS.Code.or.Value","URXUAS.Value.Description","URXUAS.Count","URXUAS.Cumulative","URXUAS.Skip.to.Item"
"0.88 to 1269","Range of Values",2272,2272,NA
".","Missing",77,2349,NA
