"OPDSHEM.Code.or.Value","OPDSHEM.Value.Description","OPDSHEM.Count","OPDSHEM.Cumulative","OPDSHEM.Skip.to.Item"
"0","No",2202,2202,NA
"1","Yes",40,2242,NA
".","Missing",692,2934,NA
