"URXHEM.Code.or.Value","URXHEM.Value.Description","URXHEM.Count","URXHEM.Cumulative","URXHEM.Skip.to.Item"
"0.559 to 66.7","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
