"URX4TO.Code.or.Value","URX4TO.Value.Description","URX4TO.Count","URX4TO.Cumulative","URX4TO.Skip.to.Item"
"0.14 to 70","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
