"DS2TPHOS.Code.or.Value","DS2TPHOS.Value.Description","DS2TPHOS.Count","DS2TPHOS.Cumulative","DS2TPHOS.Skip.to.Item"
"11.5 to 760","Range of Values",739,739,NA
".","Missing",8599,9338,NA
