"WBXF034.Code.or.Value","WBXF034.Value.Description","WBXF034.Count","WBXF034.Cumulative","WBXF034.Skip.to.Item"
"971.5319 to 971.5319","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
