"PUD021.Code.or.Value","PUD021.Value.Description","PUD021.Count","PUD021.Cumulative","PUD021.Skip.to.Item"
"1","Yes",254,254,NA
"2","No",1979,2233,NA
".","Missing",7732,9965,NA
