"MCQ240V.Code.or.Value","MCQ240V.Value.Description","MCQ240V.Count","MCQ240V.Cumulative","MCQ240V.Skip.to.Item"
"80","80 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",9666,9666,NA
