"LBX146LA.Code.or.Value","LBX146LA.Value.Description","LBX146LA.Count","LBX146LA.Cumulative","LBX146LA.Skip.to.Item"
"1.6 to 86.6","Range of Values",1923,1923,NA
".","Missing",351,2274,NA
