"INQ060.Code.or.Value","INQ060.Value.Description","INQ060.Count","INQ060.Cumulative","INQ060.Skip.to.Item"
"1","Yes",697,697,NA
"2","No",8893,9590,NA
"7","Refused",32,9622,NA
"9","Don't know",20,9642,NA
".","Missing",329,9971,NA
