"LBDF10LC.Code.or.Value","LBDF10LC.Value.Description","LBDF10LC.Count","LBDF10LC.Cumulative","LBDF10LC.Skip.to.Item"
"0","detectable result",507,507,NA
"1","below detectable limit",1342,1849,NA
".","Missing",436,2285,NA
