"RFXT087.Code.or.Value","RFXT087.Value.Description","RFXT087.Count","RFXT087.Cumulative","RFXT087.Skip.to.Item"
"752 to 761","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
