"CIQG21.Code.or.Value","CIQG21.Value.Description","CIQG21.Count","CIQG21.Cumulative","CIQG21.Skip.to.Item"
"14 to 31","Range of Values",12,12,NA
"77","Refused",0,12,NA
"99","Don't know",2,14,NA
".","Missing",914,928,NA
