"DSQIVB1.Code.or.Value","DSQIVB1.Value.Description","DSQIVB1.Count","DSQIVB1.Cumulative","DSQIVB1.Skip.to.Item"
"0.013 to 250","Range of Values",1839,1839,NA
".","Missing",7720,9559,NA
