"HCQ140E.Code.or.Value","HCQ140E.Value.Description","HCQ140E.Count","HCQ140E.Cumulative","HCQ140E.Skip.to.Item"
"1","Yes",3,3,NA
"2","No",4,7,NA
"7","Refused",0,7,NA
"9","Don't Know",0,7,NA
".","Missing",100,107,NA
