"OPDSSNV.Code.or.Value","OPDSSNV.Value.Description","OPDSSNV.Count","OPDSSNV.Cumulative","OPDSSNV.Skip.to.Item"
"0","No",2341,2341,NA
"1","Yes",2,2343,NA
".","Missing",591,2934,NA
