"LBXVCF.Code.or.Value","LBXVCF.Value.Description","LBXVCF.Count","LBXVCF.Cumulative","LBXVCF.Skip.to.Item"
"0.006 to 0.619","Range of Values",2905,2905,NA
".","Missing",361,3266,NA
