"PAQ625.Code.or.Value","PAQ625.Value.Description","PAQ625.Count","PAQ625.Cumulative","PAQ625.Skip.to.Item"
"1 to 7","Range of Values",2534,2534,""
"77","Refused",0,2534,"PAQ635"
"99","Don't know",3,2537,"PAQ635"
".","Missing",7234,9771,""
