"DSQTMFAT.Code.or.Value","DSQTMFAT.Value.Description","DSQTMFAT.Count","DSQTMFAT.Cumulative","DSQTMFAT.Skip.to.Item"
"0.011 to 6","Range of Values",81,81,NA
".","Missing",9675,9756,NA
