"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"1.61 to 15100","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
