"DS1IVB12.Code.or.Value","DS1IVB12.Value.Description","DS1IVB12.Count","DS1IVB12.Cumulative","DS1IVB12.Skip.to.Item"
"0.08 to 10000","Range of Values",1898,1898,NA
".","Missing",3796,5694,NA
