"DS2IVB2.Code.or.Value","DS2IVB2.Value.Description","DS2IVB2.Count","DS2IVB2.Cumulative","DS2IVB2.Skip.to.Item"
"0.002 to 200","Range of Values",1400,1400,NA
".","Missing",4299,5699,NA
