"URD14DLC.Code.or.Value","URD14DLC.Value.Description","URD14DLC.Count","URD14DLC.Cumulative","URD14DLC.Skip.to.Item"
"0","At or above the detection limit",2644,2644,NA
"1","Below lower detection limit",42,2686,NA
".","Missing",91,2777,NA
