"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",88,88,NA
"2","No",8744,8832,NA
".","Missing",475,9307,NA
