"PFQ054.Code.or.Value","PFQ054.Value.Description","PFQ054.Count","PFQ054.Cumulative","PFQ054.Skip.to.Item"
"1","Yes",562,562,NA
"2","No",4478,5040,NA
"7","Refused",0,5040,NA
"9","Don't know",0,5040,NA
".","Missing",4605,9645,NA
