"AUXRR142.Code.or.Value","AUXRR142.Value.Description","AUXRR142.Count","AUXRR142.Cumulative","AUXRR142.Skip.to.Item"
"-57 to 54","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
