"DS1TSELE.Code.or.Value","DS1TSELE.Value.Description","DS1TSELE.Count","DS1TSELE.Cumulative","DS1TSELE.Skip.to.Item"
"0.2 to 100000","Range of Values",900,900,NA
".","Missing",8438,9338,NA
