"DR2IP182.Code.or.Value","DR2IP182.Value.Description","DR2IP182.Count","DR2IP182.Cumulative","DR2IP182.Skip.to.Item"
"0 to 86.395","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
