"URDOP1LC.Code.or.Value","URDOP1LC.Value.Description","URDOP1LC.Count","URDOP1LC.Cumulative","URDOP1LC.Skip.to.Item"
"0","At or above the detection limit",2947,2947,NA
"1","Below lower detection limit",59,3006,NA
".","Missing",199,3205,NA
