"PAXVMH.Code.or.Value","PAXVMH.Value.Description","PAXVMH.Count","PAXVMH.Cumulative","PAXVMH.Skip.to.Item"
"0 to 60","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
