"DXXRAFAT.Code.or.Value","DXXRAFAT.Value.Description","DXXRAFAT.Count","DXXRAFAT.Cumulative","DXXRAFAT.Skip.to.Item"
"163.3 to 7248","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
