"DBD020.Code.or.Value","DBD020.Value.Description","DBD020.Count","DBD020.Cumulative","DBD020.Skip.to.Item"
"1 to 547","Range of Values",1262,1262,""
"0","Never",49,1311,"DBD085"
"777777","Refused",0,1311,"DBD085"
"999999","Don't know",8,1319,"DBD085"
".","Missing",9720,11039,""
