"MCQ260FA.Code.or.Value","MCQ260FA.Value.Description","MCQ260FA.Count","MCQ260FA.Cumulative","MCQ260FA.Skip.to.Item"
"1","Mother",668,668,"MCQ250G"
"77","Refused",0,668,"MCQ250G"
"99","Don't know",3,671,"MCQ250G"
".","Missing",8974,9645,""
