"PFQ061I.Code.or.Value","PFQ061I.Value.Description","PFQ061I.Count","PFQ061I.Cumulative","PFQ061I.Skip.to.Item"
"1","No difficulty",1560,1560,NA
"2","Some difficulty",392,1952,NA
"3","Much difficulty",114,2066,NA
"4","Unable to do",80,2146,NA
"5","Do not do this activity",6,2152,NA
"7","Refused",0,2152,NA
"9","Don't know",1,2153,NA
".","Missing",7669,9822,NA
