"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 171","Range of Values",2240,2240,NA
".","Missing",109,2349,NA
