"DCD030.Code.or.Value","DCD030.Value.Description","DCD030.Count","DCD030.Cumulative","DCD030.Skip.to.Item"
"2","Living Room/Family Room/Den",1044,1044,NA
"3","Dining Room",16,1060,NA
"4","Kitchen",23,1083,NA
"5","Bedroom",137,1220,NA
"7","Another room",37,1257,NA
".","Missing",73,1330,NA
